Nama SGB,Alamat,Jumlah Slot,Timestamp
Cosbi Sanjaya Motor ( Dealer Surabaya ),"JL. NGAGEL JAYA NO 7, SURABAYA",12,2025-06-06 21:06:06
Alfamart Sunset Road Seminyak ( Bali ),"Jl. Sunset Road No.271 D, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",12,2025-06-06 21:03:23
Alfamart Sidotopo Wetan ( Surabaya ),"Jl. Sidotopo Wetan Gg. I Luar No.55, Sidotopo Wetan, Kec. Kenjeran, Surabaya, Jawa Timur 60128",12,2025-06-06 21:05:25
Alfamart Menganti D Kramat Surabaya,"JL Manukan Tama No 171, Lontar, Sambikerep, Lakarsantri, Surabaya",12,2025-06-06 21:09:07
Alfamart Uluwatu ( Bali ),"Jl. Raya Uluwatu No.56, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",12,2025-06-06 21:04:40
Alfamart Menanggal 2 ( Surabaya ),"JL Manukan Tama No 171, Lontar, Sambikerep, Lakarsantri, Surabaya",12,2025-06-06 21:08:06
Minimart CG56 Bali,"Jl. Raya Canggu No.99A, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80361
",12,2025-06-06 21:03:08
Alfamart Ketewel Gianyar (Bali),"Jl. Prof. Dr. Ida Bagus Mantra, Ketewel, Kec. Sukawati, Kabupaten Gianyar, Bali",12,2025-06-06 21:01:01
Alfamart Andalas (Makassar),"Jl. Andalas, Bontoala Parang, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90156",12,2025-06-06 20:59:53
Alfamart Sindu Kelod ( Bali ),"Jl. Bypass Ngurah Rai No.229, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",12,2025-06-06 21:01:26
Perusda ( Bali ),"Jl.Kamboja no.15,Dangin Puri Kangin,Kec.Denpasar Utara,Denpasar Bali 80233",12,2025-06-06 21:01:31
Alfamart Hang Tuah Barat ( Bali ),"Jl. Hang Tuah Barat, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",12,2025-06-06 21:01:16
Alfamart Bronggalan ( Surabaya ),"Jl. Bronggalan II No.6, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132",12,2025-06-06 21:05:35
Minimart BT7 Bali,"Jl. Batu Belig No.79, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",12,2025-06-06 21:03:33
Ubud EV Battery Charging Station Bali (24Jam),"Jl. Cok Gede Rai, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",12,2025-06-06 21:00:40
Minimart CG38 Bali,"Jl. Raya Padonan No.26a, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 8036111450",12,2025-06-06 21:02:52
Alfamart Raya Dharmawangsa ( Surabaya ),jl. Raya Dharmawangsa no.118 Surabaya,12,2025-06-06 21:05:51
Volta Makassar,"Jl. H. Bau No.40, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90113",12,2025-06-06 21:00:19
Alfamart Raya Manukan Tama ( Surabaya ),"JL Manukan Tama No 171, Lontar, Sambikerep, Lakarsantri, Surabaya",12,2025-06-06 21:07:11
Alfamart Gagak (Makassar),"Jl. Gagak No.17, Mariso, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90122",12,2025-06-06 21:00:24
Minimart CG37 Bali,"Jl. Raya Semat No.1d, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",12,2025-06-06 21:03:43
BC Semolis Bali,"Jl. Campuhan I - Dewi Sri No.9, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",12,2025-06-06 21:03:59
Alfamart Bypass Bualu ( Bali ),"Jl. Bypass Ngurah Rai, Benoa, Kec. Kuta Selatan, Kabupaten Badung, Bali 80361",12,2025-06-06 21:04:14
Alfamart Kalirungkut ( Surabaya ),"Jl. Raya Kalirungkut No.26, Kali Rungkut, Kec. Rungkut, Surabaya, Jawa Timur 60293",12,2025-06-06 21:06:17
Alfamart Tenggumung Wetan ( Surabaya ),"Jl. Kedinding Lor Kel No.98, Tanah Kali Kedinding, Kec. Kenjeran, Surabaya, Jawa Timur 60129",12,2025-06-06 21:05:20
Alfamart Abdul Karim ( Surabaya ),"Jl. Kyai Abdul Karim No. 67, Rungkut Menanggal, Kec. Gunung Anyar, Surabaya, Jawa Timur 60293",12,2025-06-06 21:06:27
Alfamart Satelit Indah ( Surabaya ),JL. Satelit Indah blok BN Sukomanunggal. ,12,2025-06-06 21:06:43
Alfamart Kedonganan ( Bali ),"Jl. Bypass Ngurah Rai, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361
",12,2025-06-06 21:04:24
Showroom Volta Bali,jl.pulau maluku II no. 2B.Denpasar Barat,12,2025-06-06 21:02:17
Alfamart Kartika Plaza 2 ( Bali ),"Jl. Kartika Plaza No.90X, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",12,2025-06-06 21:04:09
Wijaya Electric Vehicle ( Dealer Pontianak ),"JL. SISINGAMANANRAJA NO. 35-37, DESA/KELURAAN DARATSEKIP, KEC PONTIANAK KOTA PONTIANAK, KALIMANTAN BARAT",8,2025-06-06 21:00:35
Alfamart Pura Demak ( Bali ),"Jl. Pura Demak No. 22, Pemecutan Klod, Kec. Denpasar Barat, Kota Denpasar, Bali 80119",12,2025-06-06 21:02:42
Alfamart Tamalate Mapala (Makassar),"Jl. Tamalate No.265, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",12,2025-06-06 20:59:58
Alfamart Dewi Sri ( Bali ),"Jl. Dewi Sri No.18c, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",12,2025-06-06 21:03:48
Alfamart Raya Tengger Benowo ( Surabaya ),"JL Manukan Tama No 171, Lontar, Sambikerep, Lakarsantri, Surabaya",12,2025-06-06 21:10:09
Alfamart Gatot Subroto Timur ( Bali ),"Jl. Gatot Subroto Timur No.221, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80236",12,2025-06-06 21:01:06
Alfamart Teuku Umar Barat ( Bali ),"Jl. Teuku Umar Barat Lingk, Jl. Pengubengan Kauh, Kerobokan Kelod, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",12,2025-06-06 21:03:03
Alfamart Tukad Balian ( Bali ),"Jl.Kamboja no.15,Dangin Puri Kangin,Kec.Denpasar Utara,Denpasar Bali 80233",12,2025-06-06 21:02:01
Anugrah Volta Gemilang ( Dealer Manado ),Jl. Ahmad yanni no. 62 kec. Sario kel  sario utara kota manado,8,2025-06-06 20:59:49
Alfamart Gatot Subroto Barat (Bali),"Jl. Gatot Subroto Barat No.121X, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111",8,2025-06-06 21:02:27
Alfamart Simogunung ( Surabaya ),JL. Simogunung no. 6D Sawahan,12,2025-06-06 21:06:32
Alfamart Mambal ( Bali ),"Jl. Raya Mambal Abiansemal No.38, Mambal, Kec. Abiansemal, Kabupaten Badung, Bali 80352",12,2025-06-06 21:00:50
Alfamart Rappocini 3 (Makassar),"Jl. Rappocini Raya No.200, RT.004/RW.002, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",12,2025-06-06 21:00:09
Alfamart Semolowaru Utara ( Surabaya ),"Jl. Semolowaru Utara V No. Kel, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119",12,2025-06-06 21:05:40
Alfamart Pemogan ( Bali ),"Jl. Raya Pemogan No.246, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221",12,2025-06-06 21:03:18
Alfamart Imam Bonjol Kediri Tabanan ( Bali ),"Jl. Imam Bonjol, Kediri, Kec. Kediri, Kabupaten Tabanan, Bali 82121",12,2025-06-06 21:02:12
Alfamart Jimbaran Kalanganyar ( Bali ),"Jl. Bypass Ngurah Rai, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Ibukota Jakarta 10730",12,2025-06-06 21:04:35
Alfamart Kedinding ( Surabaya ),"Jl. Kedinding Lor Kel No.98, Tanah Kali Kedinding, Kec. Kenjeran, Surabaya, Jawa Timur 60129",12,2025-06-06 21:04:50
Alfamart Pulau Moyo ( Bali ),"Jl. Pulau Moyo No.44E, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80223, Indonesia",12,2025-06-06 21:02:37
Harson Motor Surabaya ( Dealer Surabaya ),"jln Gentengkali no 164 RT 001/ RW 011 kel Alun-Alun Contong, kec Bubutan, Surabaya Pusat",12,2025-06-06 21:06:01
Alfamart Dukuh Kupang Barat,"JL. dukuh kupang barat,kel dukuh dukuh barat XXXII,dukuh kupang kota sbya",12,2025-06-06 21:07:01
