Nama SGB,Alamat,Jumlah Slot,Timestamp
RS Mitra Keluarga Gading Serpong,"JL Raya Legok .Karawaci No 20 Medang ,kec Pagedangan ,kab Tangerang Banten 15810",12,2025-06-06 22:03:16
CGYH120115240900006,Jl Otto Iskandardinata No 51 RT 001/09 Kel Cipinang Cempedak Kec Jatinegara JakTim,12,2025-06-06 21:55:22
Perusda ( Bali ),"Jl.Kamboja no.15,Dangin Puri Kangin,Kec.Denpasar Utara,Denpasar Bali 80233",12,2025-06-06 21:19:53
SPBKLU PLN ULP Bojong Gede,"Jl. Raya Bojong Gede No.65, Bojong Baru, Kecamatan Bojonggede, Kabupaten Bogor",8,2025-06-06 22:07:09
SPBKLU ULP Bogor Barat,"Jl. Raya Karadenan No.10, RT.01/RW.04, Karadenan, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16913",12,2025-06-06 22:11:11
Alfamart Teuku Umar Barat ( Bali ),"Jl. Teuku Umar Barat Lingk, Jl. Pengubengan Kauh, Kerobokan Kelod, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",12,2025-06-06 21:21:37
SPBKLU PLN UP3 Cikupa,"Jl. Kemang Raya Ruko Trivium Square Lippo Cikarang No. 29, Sukaresmi, Cikarang, Kabupaten Bekasi, Jawa Barat 17530 ",8,2025-06-06 22:09:56
Alfamart Simogunung ( Surabaya ),JL. Simogunung no. 6D Sawahan,12,2025-06-06 21:25:39
Alfamart Kembangan Baru 2,"Jl. Kembangan Baru Kel No.38, RT.5/RW.3, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610
",12,2025-06-06 21:33:42
Alfamart Meruya Ilir 2,"JL MERUYA ILIR A17/16 KEL MERUYA UTARA, KEC KEMBANGAN JAK - BAR",12,2025-06-06 21:35:11
Alfamart Raya Kelapa Dua,"Jl. Kelapa Dua Raya 188-1, RT 02/ RW 04 Kelapa Dua, Kec. Kelapa Dua, Kabupaten Tangerang, Banten 15810",12,2025-06-06 22:01:55
SPBKLU PLN PLN Kantor Pusat,"Jl. Trunojoyo Blok M1/135, Kebayoran Baru, Jakarta Selatan",8,2025-06-06 22:04:14
Alfamart Bambu Kuning 2,"Jl. Raya Bojong Gede No.81, Bojong Baru, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat 16920",12,2025-06-06 22:07:20
Alfamart Jatinegara Timur 2,"Jl. Jatinegara Timur IV, RT.02/RW.7, Rw. Bunga, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13350",12,2025-06-06 21:53:35
Alfamart Klero,"Jl. Raya Salatiga-Solo No.Km 8, Klerokrajan, Klero, Kec. Tengaran, Kabupaten Semarang, Jawa Tengah 50775",12,2025-06-06 21:28:32
SPBU Lenteng Agung,"Jl. Lenteng Agung Raya, RT.6/RW.1, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610",12,2025-06-06 21:46:49
CGYH120115240900052,Jl Otto Iskandardinata No 51 RT 001/09 Kel Cipinang Cempedak Kec Jatinegara JakTim,12,2025-06-06 21:54:51
SPBKLU PLN UP3 Cengkareng,"Jl. Raya Pondok Randu No.19, RT.3/RW.2, Duri Kosambi, Cengkareng, Jakarta Barat",8,2025-06-06 22:06:21
Alfamart Dukuh Gempol ( Surabaya ),"JL Balas Klumprik No 32, Balas Klumprik, Kec. Wiyung, Surabaya",12,2025-06-06 21:27:27
Alfamart Ruko Grand Festival,"Jl. Untung Suropati, Mekarmukti, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530
",12,2025-06-06 22:11:47
SPBU Ahmad Yani,"Jl. Ahmad Yani No.1, RT.004/RW.001, Marga Jaya, Kec. Bekasi Selatan, Kota Bekasi, Jawa Barat 17148",12,2025-06-06 21:42:42
PLN UP3 Tanjung Priok,"Jl. Yos Sudarso No.30, RT.19/RW.5, Sunter Jaya, Kec. Tj. Priok, Jkt Utara",12,2025-06-06 21:34:07
Alfamart Rawa Buntu Utara 2,"Jl. Rawa Buntu Utara, Rw. Buntu, Kec. Serpong, Kota Tangerang Selatan, Banten",12,2025-06-06 21:57:12
