Nama SGB,Alamat,Jumlah Slot,Timestamp
Alfamart Bintara 9,"Jl. Bintara IX No.11, RT.003/RW.005, Bintara, Kec. Bekasi Barat, Kota Bekasi, Jawa Barat 17134",12,2025-06-06 21:43:49
Alfamart Patriot 2,"Jl. Patriot No.75, RT.005/RW.003, Jakasampurna, Kec. Bekasi Barat, Kota Bekasi, Jawa Barat 17145",12,2025-06-06 21:43:59
Alfamidi Tanah Pasir,"Jl. Pluit Dalam No.87-88, RT.18/RW.8, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",12,2025-06-06 21:52:05
Alfamart Pulau Moyo ( Bali ),"Jl. Pulau Moyo No.44E, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80223, Indonesia",12,2025-06-06 21:20:54
Alfamidi Meruya (24 Jam),"JL. MERUYA SELATAN NO.11 RT. 003 RW. 02, KEL. MERUYA SELATAN KEC. KEMBANGAN, JAKARTA BARAT",12,2025-06-06 21:36:22
SPBKLU PLN UP3 Jatinegara,"Jl. Jatinegara Timur No.75, RT.10/RW.2, Kecamatan Jatinegara, Kota Jakarta Timur",8,2025-06-06 21:53:50
Alfamart Citayam Ratu Jaya,"Jl. Raya Citayam No.35, RT.01 RW.03, Ratu Jaya, Kec. Cipayung, Kota Depok, Jawa Barat 16439",12,2025-06-06 22:03:01
SPBKLU Mall Tangcity,"Jl. Jendral Sudirman No. 1 Tangerang, Kota Tangerang ",12,2025-06-06 21:58:17
Alfamart Stasiun Serpong,"Jl. Raya Serpong No.22, Serpong, Kec. Serpong, Kota Tangerang Selatan, Banten 15311",12,2025-06-06 22:01:50
Alfamart Mambal ( Bali ),"Jl. Raya Mambal Abiansemal No.38, Mambal, Kec. Abiansemal, Kabupaten Badung, Bali 80352",12,2025-06-06 21:19:13
Alfamart Boncel TG (24 Jam),"JL. SEPAT (TELUK GONG), NO. 30A, RT. 008/012, KEL. PEJAGALAN, KEC. PENJARINGAN JAKARTA UTARA",12,2025-06-06 21:31:13
Alfamidi Penggilingan (24 Jam),"Jl. Damai Raya No.9, RT.3/RW.5, Petukangan Selatan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12270",12,2025-06-06 21:38:02
Alfamart Andalas (Makassar),"Jl. Andalas, Bontoala Parang, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90156",12,2025-06-06 21:18:16
Alfamart Sunset Road Seminyak ( Bali ),"Jl. Sunset Road No.271 D, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",12,2025-06-06 21:22:03
Alfamart Bronggalan ( Surabaya ),"Jl. Bronggalan II No.6, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132",12,2025-06-06 21:24:17
Alfamart Dukuh Bungkal ( Surabaya ),Jl. Raya Dukuh Bungkal no. 23 Surabaya,12,2025-06-06 21:27:17
Alfamart Pluit Permai Raya,"Jl. Pluit Raya No.27, RT.18/RW.8, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta",12,2025-06-06 21:33:02
Alfamart RS Polri,"Jl. Rs. Polri No.1, RT.12/RW.4, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13510",12,2025-06-06 21:35:06
SPBKLU PLN ULP Mustika Jaya,"Jl. Let. Jend. Suprapto, Cimuning, RT.003/RW.004, Cimuning, Kec. Mustika Jaya, Kota Bks, Jawa Barat ",8,2025-06-06 21:44:19
SPBKLU PLN UP3 Bandengan,"Jl. Bandengan Utara Raya No. 79, Penjaringan, Kota Jakarta Utara",8,2025-06-06 21:52:30
SPBU Cikini,"Jl. Cikini Raya No.113-115, RT.10/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",12,2025-06-06 21:54:05
Alfamart Taman Wisma Asri 2,"Jl. Taman Wisma Asri No.30 Blok B, RT.001/RW.015, Teluk Pucung, Kec. Bekasi Utara, Kota Bekasi, Jawa Barat 17121",12,2025-06-06 21:57:37
Alfamidi Puspitek Muncul (24 Jam),"Jl. Raya Serpong No.8, Muncul, Kec. Setu, Kota Tangerang Selatan, Banten 15314",12,2025-06-06 22:02:20
Alfamart Raya Keadilan 8,"Jl. Keadilan Raya No.1, RT.02 RW.3, Bakti Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16418",12,2025-06-06 21:58:47
Alfamart Jimbaran Kalanganyar ( Bali ),"Jl. Bypass Ngurah Rai, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Ibukota Jakarta 10730",12,2025-06-06 21:23:15
Citra Garden 3B,"Jl. Suci No.1, RT.10/RW.4, Kel. Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750",12,2025-06-06 21:47:59
Alfamart Sindu Kelod ( Bali ),"Jl. Bypass Ngurah Rai No.229, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",12,2025-06-06 21:19:49
Wijaya Electric Vehicle ( Dealer Pontianak ),"JL. SISINGAMANANRAJA NO. 35-37, DESA/KELURAAN DARATSEKIP, KEC PONTIANAK KOTA PONTIANAK, KALIMANTAN BARAT",8,2025-06-06 21:18:58
Alfamidi Danau Indah Raya,"Jl. Danau Indah Timur C-1/8 RT. 006 RW. 013 Kel. Sunter Jaya Kec. Tanjung Priok, JAKUT",12,2025-06-06 21:43:29
SPBU Kemang Selatan,"Jl. Kemang Sel. No.104, RT.1/RW.3, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560",12,2025-06-06 21:34:56
SPBKLU PLN UP3 Bulungan,"Jl. Sisingamangaraja No.1 2, RT.2/RW.8, Kebayoran Baru, Jakarta Selatan",8,2025-06-06 22:04:19
Alfamidi Golden City (24 Jam),"Jl. Maninjau Blok D2 No. 11 RT. 002 RW. 033 Kel. Teluk Pucung Kec. Bekasi Utara, BEKASI",12,2025-06-06 21:56:27
Alfamart KP Utan Jati,"Jl.Raya Kedaung Barat, RT 01 RW 03, Kedaung Barat, Kec. Sepatan Timur, Kabupaten Tangerang, Banten 15520",12,2025-06-06 22:03:41
Alfamidi Otista Raya,Jl Otto Iskandardinata No 51 RT 001/09 Kel Cipinang Cempedak Kec Jatinegara JakTim,12,2025-06-06 21:54:21
SPBKLU PLN ULP Bekasi Kota,"Jl. Jend. Ahmad Yani No. 14, Kota Bekasi, Jawa Barat",8,2025-06-06 21:40:16
Alfamart Satelit Indah ( Surabaya ),JL. Satelit Indah blok BN Sukomanunggal. ,12,2025-06-06 21:25:49
BC Semolis Depok,"Jl. Keadilan Raya No.1, RT.02 RW.3, Bakti Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16418",12,2025-06-06 22:00:23
Alfamart Rappocini 3 (Makassar),"Jl. Rappocini Raya No.200, RT.004/RW.002, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",12,2025-06-06 21:18:32
Alfamart Ciputat Raya 3,"Jl. Ciputat Raya, RT.8/RW.8, Kebayoran Lama Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",12,2025-06-06 21:33:17
Alfamart Kebon Nanas,"Jl. Keadilan Raya No.1, RT.02 RW.3, Bakti Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16418",12,2025-06-06 21:59:17
Alfamart Ketewel Gianyar (Bali),"Jl. Prof. Dr. Ida Bagus Mantra, Ketewel, Kec. Sukawati, Kabupaten Gianyar, Bali",12,2025-06-06 21:19:23
Alfamart Bypass Bualu ( Bali ),"Jl. Bypass Ngurah Rai, Benoa, Kec. Kuta Selatan, Kabupaten Badung, Bali 80361",12,2025-06-06 21:22:53
Alfamart Pura Demak ( Bali ),"Jl. Pura Demak No. 22, Pemecutan Klod, Kec. Denpasar Barat, Kota Denpasar, Bali 80119",12,2025-06-06 21:21:06
Alfamidi Kukusan (24 Jam),"Jl. Raya Kukusan RT. 002 RW. 006 Kel. Kukusan Kec. Beji, DEPOK, Jawa Barat",12,2025-06-06 21:55:41
Alfamart Tohir,"Jl. H. Tohir No.41A, RT.3/RW.7, Sukabumi Selatan, Kec. Kebon Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560",12,2025-06-06 21:32:39
SPBKLU PLN UP3 Serpong,"Jl. Komp. Bsd raya sektor VIII, Lengkong Gudang, Serpong, Banten",8,2025-06-06 21:57:52
SPBKLU PLN ULP Babelan,"Jl. Keadilan Raya No.1, RT.02 RW.3, Bakti Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16418",8,2025-06-06 21:59:52
Alfamidi Sunter Agung 2 (24 Jam),"Jl. Let. Jend. Suprapto, Cimuning, RT.003/RW.004, Cimuning, Kec. Mustika Jaya, Kota Bks, Jawa Barat ",12,2025-06-06 21:45:22
RS Mitra Keluarga Pratama Jatiasih,"Jl. Raya Jatimekar RT 001 RW 012 Jatiasih Kota Bekasi, Jawa Barat 17422",12,2025-06-06 21:51:25
Alfamart Mayor Oking 4 (24 Jam),"Jl Mayor Oking RT 02 RW 03 Puspanegara, Kec Citeureup, Kabupaten Bogor Jawa Barat 16810",12,2025-06-06 22:07:38
Alfamart Imam Bonjol 7,"Jl. Imam Bonjol No.59, RT.004/RW.004, Karawaci, Kec. Karawaci, Kota Tangerang, Banten 15115",12,2025-06-06 22:00:35
Alfamart Neglasari 2,"Jl. Marsekal Surya Darma Baru No.40, RT.001/RW.003, Selapajang Jaya, Kec. Neglasari, Kota Tangerang, Banten 15127",12,2025-06-06 22:00:45
Alfamart Cipinang Muara,"Jl. Cipinang Muara I No.15 RT.12/RW.2, Pondok Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",12,2025-06-06 21:31:23
Alfamart Kedaton,"Jl. Raya Ps. Kemis, Pasir Gadung, Kec. Cikupa, Kabupaten Tangerang, Banten 15710",12,2025-06-06 22:07:49
Alfamart Kavling DKI 3 (24 Jam),"Jl. Damai Raya No.9, RT.3/RW.5, Petukangan Selatan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12270",12,2025-06-06 21:38:57
Alfamart Daan Mogot Prima,"Jl. Daan Mogot Komp. Pergudangan Ruko Prima, Blk. A1 Kel No.6, RT.8/RW.2, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",12,2025-06-06 21:36:12
Alfamart Menanggal 2 ( Surabaya ),"Jl. Menanggal II No.11, Menanggal, Kec. Gayungan, Surabaya, Jawa Timur 60234",12,2025-06-06 21:26:26
Alfamidi Cipinang Jaya (24 Jam),JL. CIPINANG JAYA RAYA NO. 53 RT.004/07 KEL. CIPINANG BESAR SELATAN JATINEGARA,12,2025-06-06 21:52:10
SPBKLU PLN ULP Lemah Abang,"Jl. Untung Suropati, Mekarmukti, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530
",12,2025-06-06 22:12:48
Alfamart Hang Tuah Barat ( Bali ),"Jl. Hang Tuah Barat, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",12,2025-06-06 21:19:38
Joy Jaya Mandiri ( Dealer Bangka ),"Jl Soekarno Hatta No. 7A-7B, Kampul Dul, Pangkalan Baru, Bangka Tengah. Bangka Belitung",12,2025-06-06 21:27:37
Alfamart Gandaria 3,"Jl. Cipinang Muara I No.15 RT.12/RW.2, Pondok Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",12,2025-06-06 21:32:29
Alfamart Margonda Raya 3,"Jl. Margonda Raya No 408, Pondok Cina, Kecamatan Beji, Kota Depok, Jawa Barat 16424",12,2025-06-06 21:56:02
SPBU Cireundeu,"Jl. Ir H. Juanda No.52, Cireundeu, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412",12,2025-06-06 21:51:15
Cosbi Sanjaya Motor ( Dealer Surabaya ),"JL. NGAGEL JAYA NO 7, SURABAYA",12,2025-06-06 21:24:52
Alfamidi Delman Utama,"Jl. Bendi Utama No.2, RT.2/RW.11, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",12,2025-06-06 21:33:52
PLN ULP Cimanggis (24 Jam),"Jl Raya Bogor No 18 RT 7 RW 5, Cisalak Pasar, Cimanggis, Kota Depok, Jawa Barat",12,2025-06-06 21:57:27
Alfamart Benda Pamulang,"Jl. Benda Raya B10 No.8, Pondok Benda, Kec. Pamulang, Kota Tangerang Selatan, Banten 15416",12,2025-06-06 21:56:17
Alfamart Kedonganan ( Bali ),"Jl. Bypass Ngurah Rai, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361
",12,2025-06-06 21:23:04
SPBKLU PLN UP3 Bekasi,"Jl. Cut Mutia No.44, RT.006/RW.007, Margahayu, Kota Bekasi",8,2025-06-06 21:40:06
Alfamart Raya H Dimun,"Jl. H. Dimun Raya No.38, RT.3 RW.6, Sukamaju, Kec. Cilodong, Kota Depok, Jawa Barat 16415",12,2025-06-06 22:03:06
Anugrah Volta Gemilang ( Dealer Manado ),Jl. Ahmad yanni no. 62 kec. Sario kel  sario utara kota manado,8,2025-06-06 21:18:11
Alfamart Raya Bawen,"Jl. Soekarno - Hatta, Harjosari, Kec. Bawen, Kabupaten Semarang, Jawa Tengah 50661",12,2025-06-06 21:28:17
Alfamart Imam Bonjol Kediri Tabanan ( Bali ),"Jl. Imam Bonjol, Kediri, Kec. Kediri, Kabupaten Tabanan, Bali 82121",12,2025-06-06 21:20:29
Alfamart Kramat Pulo Gundul,"Jl. Kramat Pulo Gundul Kel No.K.9, RT.1/RW.9, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540",12,2025-06-06 21:51:55
Juda Berlian E-Bike Semarang,"Jl Soekarno Hatta No. 7A-7B, Kampul Dul, Pangkalan Baru, Bangka Tengah. Bangka Belitung",9,2025-06-06 21:28:02
Alfamart Rancho Indah,"Jl. Sisingamangaraja No.1 2, RT.2/RW.8, Kebayoran Baru, Jakarta Selatan",8,2025-06-06 22:06:05
Alfamart Pluit Selatan Raya 2,"Jl. Gandaria 1 No.339, RT.5/RW.2, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",12,2025-06-06 21:31:08
Alfamart Meruyung Raya,"Jl. Meruyung Raya No.70, RT.16/RW.08, Meruyung, Kec. Limo, Kota Depok, Jawa Barat 16515",12,2025-06-06 21:58:32
Alfamart Slamet Riyadi Bawen,"Jl. SLAMET RIYADI RT. 06 RW. 02, Krajan, Bawen, Kec. Bawen, Kabupaten Semarang, Jawa Tengah 50661",12,2025-06-06 21:28:27
KFC Artha Gading,"Jl. Gandaria 1 No.339, RT.5/RW.2, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",8,2025-06-06 21:30:28
SPBKLU PLN UP3 Pondok Kopi,"Jl. Raden Inten II No.10, Kalimalang, RT.4/RW.7, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930",8,2025-06-06 21:39:21
Citra Garden 3,"Jl. Suci No.1, RT.10/RW.4, Kel. Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750",12,2025-06-06 21:48:30
